1,3,"enp0s10",1657973902.357558,"1.5.5 (417daa7 - Jul 15 2022 20:33:42)","1.7.3 (92ce3808)"
999,3,"enp0s10",1657973905.458371,"int",1,"10.0.0.11","10.0.1.11",643,1410,1,0,0,0
999,3,"enp0s10",1657973905.558793,"int",2,"10.0.0.12","10.0.1.12",16541,101654,73,0,0,1115
999,3,"enp0s10",1657973905.558793,"int",2,"10.0.0.11","10.0.1.11",1979,53580,38,2,0,667
999,3,"enp0s10",1657973905.659210,"int",3,"10.0.0.12","10.0.1.12",10341,69352,50,0,0,650
999,3,"enp0s10",1657973905.659210,"int",3,"10.0.0.11","10.0.1.11",1801,38070,27,5,0,101
999,3,"enp0s10",1657973905.759281,"int",4,"10.0.0.12","10.0.1.12",18634,75610,55,0,0,1203
999,3,"enp0s10",1657973905.759281,"int",4,"10.0.0.11","10.0.1.11",1534,60630,43,5,0,547
999,3,"enp0s10",1657973905.859417,"int",5,"10.0.0.12","10.0.1.12",15949,93988,68,0,0,1436
999,3,"enp0s10",1657973905.859417,"int",5,"10.0.0.11","10.0.1.11",1801,43710,31,7,0,346
999,3,"enp0s10",1657973905.959509,"int",6,"10.0.0.12","10.0.1.12",17005,69908,50,0,0,813
999,3,"enp0s10",1657973905.959509,"int",6,"10.0.0.11","10.0.1.11",1019,46530,33,2,0,247
999,3,"enp0s10",1657973906.059647,"int",7,"10.0.0.12","10.0.1.12",17501,82720,60,0,0,958
999,3,"enp0s10",1657973906.059647,"int",7,"10.0.0.11","10.0.1.11",1414,57810,41,3,0,554
999,3,"enp0s10",1657973906.159869,"int",8,"10.0.0.12","10.0.1.12",18672,82720,60,0,0,1038
999,3,"enp0s10",1657973906.159869,"int",8,"10.0.0.11","10.0.1.11",1864,59220,42,8,0,339
999,3,"enp0s10",1657973906.261174,"int",9,"10.0.0.12","10.0.1.12",25067,82720,60,0,0,1180
999,3,"enp0s10",1657973906.261174,"int",9,"10.0.0.11","10.0.1.11",1818,50760,36,5,0,624
999,3,"enp0s10",1657973906.362427,"int",10,"10.0.0.12","10.0.1.12",28460,81176,58,0,0,1127
999,3,"enp0s10",1657973906.362427,"int",10,"10.0.0.11","10.0.1.11",1230,57810,41,10,0,589
999,3,"enp0s10",1657973906.462821,"int",11,"10.0.0.12","10.0.1.12",21563,79778,57,0,0,1098
999,3,"enp0s10",1657973906.462821,"int",11,"10.0.0.11","10.0.1.11",1316,45120,32,9,0,431
999,3,"enp0s10",1657973906.565065,"int",12,"10.0.0.12","10.0.1.12",14655,50760,36,0,0,559
999,3,"enp0s10",1657973906.565065,"int",12,"10.0.0.11","10.0.1.11",1447,36660,26,4,0,184
999,3,"enp0s10",1657973906.665150,"int",13,"10.0.0.12","10.0.1.12",4152,119258,85,0,0,372
999,3,"enp0s10",1657973906.665150,"int",13,"10.0.0.11","10.0.1.11",1457,39480,28,2,0,35
999,3,"enp0s10",1657973906.765396,"int",14,"10.0.0.12","10.0.1.12",5189,79174,57,0,0,258
999,3,"enp0s10",1657973906.765396,"int",14,"10.0.0.11","10.0.1.11",1226,46530,33,1,0,112
999,3,"enp0s10",1657973906.865636,"int",15,"10.0.0.12","10.0.1.12",10208,82720,60,0,0,750
999,3,"enp0s10",1657973906.865636,"int",15,"10.0.0.11","10.0.1.11",1019,43710,31,1,0,240
999,3,"enp0s10",1657973906.965698,"int",16,"10.0.0.12","10.0.1.12",8128,82586,59,0,0,600
999,3,"enp0s10",1657973906.965698,"int",16,"10.0.0.11","10.0.1.11",1149,50760,36,2,0,55
999,3,"enp0s10",1657973907.065966,"int",17,"10.0.0.12","10.0.1.12",6893,82720,60,0,0,447
999,3,"enp0s10",1657973907.065966,"int",17,"10.0.0.11","10.0.1.11",1344,39480,28,1,0,168
999,3,"enp0s10",1657973907.166224,"int",18,"10.0.0.12","10.0.1.12",3986,82598,59,0,0,248
999,3,"enp0s10",1657973907.166224,"int",18,"10.0.0.11","10.0.1.11",1093,54990,39,0,0,50
999,3,"enp0s10",1657973907.266517,"int",19,"10.0.0.12","10.0.1.12",8174,77550,55,0,0,471
999,3,"enp0s10",1657973907.266517,"int",19,"10.0.0.11","10.0.1.11",2195,46530,33,4,0,205
999,3,"enp0s10",1657973907.366684,"int",20,"10.0.0.12","10.0.1.12",3582,86224,62,0,0,353
999,3,"enp0s10",1657973907.366684,"int",20,"10.0.0.11","10.0.1.11",1283,63450,45,2,0,50
999,3,"enp0s10",1657973907.466836,"int",21,"10.0.0.12","10.0.1.12",11619,63450,45,0,0,532
999,3,"enp0s10",1657973907.466836,"int",21,"10.0.0.11","10.0.1.11",1868,57810,41,5,0,226
999,3,"enp0s10",1657973907.567731,"int",22,"10.0.0.12","10.0.1.12",3382,84600,60,0,0,150
999,3,"enp0s10",1657973907.567731,"int",22,"10.0.0.11","10.0.1.11",1108,73320,52,0,0,102
999,3,"enp0s10",1657973907.667917,"int",23,"10.0.0.12","10.0.1.12",5655,64860,46,0,0,180
999,3,"enp0s10",1657973907.667917,"int",23,"10.0.0.11","10.0.1.11",2051,69090,49,5,0,136
999,3,"enp0s10",1657973907.767949,"int",24,"10.0.0.12","10.0.1.12",6859,70500,50,0,0,269
999,3,"enp0s10",1657973907.767949,"int",24,"10.0.0.11","10.0.1.11",1218,69090,49,3,0,176
999,3,"enp0s10",1657973907.868398,"int",25,"10.0.0.12","10.0.1.12",7277,71910,51,0,0,247
999,3,"enp0s10",1657973907.868398,"int",25,"10.0.0.11","10.0.1.11",3168,67236,48,12,0,190
